arabizi,arabic_harakat,arabic_stripped
ta3aali,تَعَالِي,تعالي
2isti3laa3,اِسْتِعْلَاء,استعلاء
3ilu,عِلو,علو
3ala 2umm,عَلَى أُمّ,على أم
2i3la,اِعْلَى,اعلى
3alli,عَلِّي,علي
2it3aala,اِتْعَالَى,اتعالى
2ista3li,اِسْتَعْلي,استعلي
yi3la,يِعْلَى,يعلى
y3alli,يعَلِّي,يعلي
yit3aala,يِتْعَالَى,يتعالى
yista3li,يِسْتَعْلي,يستعلي
3ili,عِلِي,علي
3alla,عَلَّى,على
t3aala,تْعَالَى,تعالى
2ista3la,اِسْتَعْلَى,استعلى
3aali,عَالِي,عالي
yii 3alee,يي عَلَيه,يي عليه
3aal 3aal,عَال عَال,عال عال
3ali,عَلِي,علي
dineen 3ali,ذنين عَلِي,ذنين علي
3ala,عَلَى,على
3alawwaa,عَلوَّاه,علواه
3alawlaylaa,عَلَوْلَيْلَاه,علوليلاه
3amd,عَمْد,عمد
bil3amd,بِالعَمْد,بالعمد
3amdan,عَمْداً,عمدا
mu3tamid,مُعْتَمِد,معتمد
3umde,عُمْدِة,عمدة
2i3timaad,اِعْتِمَاد,اعتماد
ta3miid,تَعْمِيد,تعميد
3amiid,عَمِيد,عميد
3aamuud,عَامُود,عامود
3umadaa2,عُمَدَاء,عمداء
3awaamiid,عَوَامِيد,عواميد
3aamuud 2izzalaam,عَامُود الظَّلَام,عامود الظلام
2i3timid,اِعْتِمِد,اعتمد
2i3tamid,اِعْتَمِد,اعتمد
3ammid,عَمِّد,عمد
2it3ammad,اِتْعَمَّد,اتعمد
yi3timid,يِعْتِمِد,يعتمد
yi3tamid,يِعْتَمِد,يعتمد
y3ammid,يعَمِّد,يعمد
yit3ammad,يِتْعَمَّد,يتعمد
2i3tamad,اِعْتَمَد,اعتمد
3ammad,عَمَّد,عمد
t3ammad,تْعَمَّد,تعمد
3ammid,عَمِّد,عمد
y3ammid,يعََمِّد,يعمد
3ammad,عَمَّد,عمد
3amraan,عَمْرَان,عمران
2isti3maari,اِسْتِعْمَاري,استعماري
3aamir,عَامِر,عامر
mu3ammir,مُعَمِّر,معمر
m3ammir,مْعَمِّر,معمر
3amaar,عَمَار,عمار
mi3timir,مِعْـتِمِر,معـتمر
3aamir,عَامِر,عامر
3umra,عُمْرَة,عمرة
musta3mara,مُسْتَعْمَرَة,مستعمرة
m3ammara,مْعَمَّرَة,معمرة
3aamuura,عَامُورَة,عامورة
3amaara,عَمَارَة,عمارة
2isti3maar,اِسْتِعْمَار,استعمار
musta3mir,مُسْتَعْمِر,مستعمر
3aamir,عَامِر,عامر
3umur,عُمُر,عمر
3amaar,عَمَار,عمار
3umur,عُمُر,عمر
2a3maar,أَعْمَار,أعمار
3awaamiir,عَوَامِير,عوامير
3amaayir,عَمَايِر,عماير
2aakhir hal3umur,آخر هَالعمر,آخر هالعمر
2awwal 3umro,أَول عُمْرُه,أول عمره
maa 3umriish,مَا عُمْريش,ما عمريش
faatak nus 3umrak,فَاتك نص عمرك,فاتك نص عمرك
2ilo 3umur,إِله عمر,إله عمر
2inkatablo 3umur djdiid,إِنكتبله عمر جديد,إنكتبله عمر جديد
2a3taakum 3umro,أَعطَاكم عمره,أعطاكم عمره
2i3timir,اِعْتِمِر,اعتمر
2ista3mir,اِسْتَعْمِر,استعمر
3ammir,عَمِّر,عمر
2i3mar,اِعْمَر,اعمر
yi3mar,يِعْمَر,يعمر
yi3timir,يِعْتِمِر,يعتمر
yista3mir,يِسْتَعْمِر,يستعمر
y3ammir,يعَمِّر,يعمر
3amar,عَمَر,عمر
2i3tamar,اِعْتَمَر,اعتمر
2ista3mar,اِسْتَعْمَر,استعمر
3ammar,عَمَّر,عمر
3amsha,عَمْشَا,عمشا
2a3mash,أَعْمَش,أعمش
3umush,عُمُش,عمش
3amash,عَمَش,عمش
2i3mish,اِعْمِش,اعمش
2in3imish,اِنْعِمِش,انعمش
yi3mish,يِعْمِش,يعمش
yin3imish,يِنْعِمِش,ينعمش
3amash,عَمَش,عمش
2in3amash,اِنْعَمَش,انعمش
mit3amshiq,مِتْعَمْشِق,متعمشق
3amshaqa,عَمْشَقَة,عمشقة
2it3amshaq,اِتْعَمْشَق,اتعمشق
yit3amshaq,يِتْعَمْشَق,يتعمشق
t3amshaq,تْعَمْشَق,تعمشق
m3ammis,مْعَمِّص,معمص
m3ammis,مْعَمِّص,معمص
3ammis,عَمِّص,عمص
y3ammis,يعَمِّص,يعمص
3ammas,عَمَّص,عمص
2a3maq,أَعْمَق,أعمق
3amiiq,عَمِيق,عميق
3umuq,عُمُق,عمق
3ammiq,عَمِّق,عمق
2it3ammaq,اِتْعَمَّق,اتعمق
y3ammiq,يعَمِّق,يعمق
yit3ammaq,يِتْعَمَّق,يتعمق
3ammaq,عَمَّق,عمق
t3ammaq,تْعَمَّق,تعمق
ma3muul,مَعْمُول,معمول
musta3mal,مُسْتَعْمَل,مستعمل
3amle,عَمْلِة,عملة
3umuule,عُمُولِة,عمولة
3amaliyye,عَمَليِّة,عملية
mu3aamale,مُعَامَلِة,معاملة
3umle,عُمْلِة,عملة
ma3mal,مَعْمَل,معمل
2isti3maal,اِسْتِعْمَال,استعمال
ta3aamul,تَعَامُل,تعامل
3amal,عَمَل,عمل
3aamil,عَامِل,عامل
ma3mal,مَعْمَل,معمل
ma3aamiil,مَعَامِيل,معاميل
3umalaa2,عُمَلَاء,عملاء
3amiil,عَمِيل,عميل
3amaala,عَمَالِة,عمالة
3amaayil,عَمَايِل,عمايل
2a3maal,أَعْمَال,أعمال
3ummaal,عُمَّال,عمال
ma3aamil,مَعَامِل,معامل
3imil 3amal,عِمِل عَمَل,عمل عمل
3imil 2a3maal,عِمِل أعْمَال,عمل أعمال
3imil 7jaabaat,عِمِل حْجَابَات,عمل حجابات
3ammaali,عَمَّالي,عمالي
3imil 7aalo,عِمِل حَاله,عمل حاله
3aamil 2issab3a wuzimmitha,عَامل السبعة وذمتهَا,عامل السبعة وذمتها
3imlatlo 3amal,عملتله عمل,عملتله عمل
kheer maa 3milit,خير مَا عملت,خير ما عملت
2i3mal,اِعْمَل,اعمل
2ista3mil,اِسْتَعْمِل,استعمل
2it3aamal,اِتْعَامَل,اتعامل
3ammaal,عَمَّال,عمال
ma3mil,مَعْمِل,معمل
2itma3mal,اِتْمَعْمَل,اتمعمل
2in3imil,اِنْعِمِل,انعمل
yi3mal,يِعْمَل,يعمل
yin3imil,يِنْعِمِل,ينعمل
yista3mil,يِسْتَعْمِل,يستعمل
yit3aamal,يِتْعَامَل,يتعامل
yma3mil,يمَعْمِل,يمعمل
yitma3mal,يِتْمَعْمَل,يتمعمل
3imil,عِمِل,عمل
2in3amal,اِنْعَمَل,انعمل
2ista3mal,اِسْتَعْمَل,استعمل
t3aamal,تْعَامَل,تعامل
ma3mal,مَعْمَل,معمل
tma3mal,تْمَعْمَل,تمعمل
3imlaaq,عِمْلَاق,عملاق
3amaaliqa,عَمَالِقَة,عمالقة
3amlaqa,عَمْلَقَة,عملقة
3aamim,عَامِم,عامم
3aam,عَام,عام
3umuumi,عُمُومِي,عمومي
3aamiyye,عَامِّيِّة,عامية
3amaame,عَمَامِة,عمامة
3amme,عَمِّة,عمة
3umuum,عُمُوم,عموم
3amm,عَمّ,عم
3maam,عْمَام,عمام
3muum,عْمُوم,عموم
3am,عَم,عم
3aamim wutaamim,عَامِم وطَامِم,عامم وطامم
3al 3umuum,عَالعُمُوم,عالعموم
2ibin 2il3amm huwwe 2illi binazzil 3an dahr 2ilfaras,اِبْن العَمّ هُو اللِّي بينَزِّل عَن ظَهْر الفَرَس,ابن العم هو اللي بينزل عن ظهر الفرس
3ammim,عَمِّم,عمم
3imm,عِمّ,عم
2it3ammim,اِتْعَمَّم,اتعمم
y3imm,يعِمّ,يعم
y3ammim,يعَمِّم,يعمم
yit3ammim,يِتْعَمَّم,يتعمم
3amm,عَمّ,عم
3ammam,عَمَّم,عمم
t3ammim,تْعَمَّم,تعمم
3imyaani,عِمْيَاني,عمياني
3amaat,عَمَاة,عماة
3amya,عَمْيَا,عميا
2a3ma,أَعْمَى,أعمى
3umi,عُمِي,عمي
3ama yi3mii,عَمَى يِعْمِيه,عمى يعميه
2in3ama 3ala qalbi,اِنعمى على قلبي,انعمى على قلبي
3amaat 2iliqmaar,عمَاة القمَار,عماة القمار
badal maa yka77ilha 3amaaha,بدل مَا يكحلهَا عمَاهَا,بدل ما يكحلها عماها
mfatti7 biblaad 3imyaan,مفتح ببلَاد عميَان,مفتح ببلاد عميان
2i3mi,اِعْمِي,اعمي
2in3imi,اِنْعِمِي,انعمي
yi3mi,يِعْمِي,يعمي
yin3imi,يِنْعِمِي,ينعمي
3ama,عَمَى,عمى
2in3ama,اِنْعَمَى,انعمى
ma3mi,مَعْمِي,معمي
3ama,عَمَى,عمى
zayy 2il3ama,زي العَمَى,زي العمى
2ashuuf 2il3ama wala 2ashuufo,أَشوف العَمَى ولَا أشوفه,أشوف العمى ولا أشوفه
3al3imyaani,عَالعِمْيَاني,عالعمياني
ma3mi qmaaro,مَعْمِي قْمَارُه,معمي قماره
2ista3mi,اِسْتَعْمِي,استعمي
yista3mi,يِسْتَعْمِي,يستعمي
2ista3ma,اِسْتَعْمَى,استعمى
3an,عَن,عن
3anaan,عَنَان,عنان
yaa sarj bimiil yaa 3anaan binqata3,يَا سرج بيميل يَا عنَان بينقطع,يا سرج بيميل يا عنان بينقطع
3innaabi,عِنَّابي,عنابي
3inbe,عِنْبِة,عنبة
3inbe,عِنْبِة,عنبة
3unbe,عُنْبِة,عنبة
3inab,عِنَب,عنب
3innaab,عِنَّاب,عناب
3unub,عُنُب,عنب
biddak 3inab walla biddak tqaatil 2innaatuur,بدك عنب ولَا بدك تقَاتل النَاطور,بدك عنب ولا بدك تقاتل الناطور
3anbar,عَنْبَر,عنبر
3antar,عَنْتَر,عنتر
m3antir,مْعَنْتِر,معنتر
3untara,عُنْتَرَة,عنترة
3antir,عَنْتِر,عنتر
y3antir,يعَنْتِر,يعنتر
3antar,عَنْتَر,عنتر
3aniid,عَنِيد,عنيد
3ind,عِنْد,عند
3inaad,عِنَاد,عناد
3indiina,عِنْدِينا,عندينا
maa 3indak,مَاعندك,ماعندك
3inna,عِنْدنا,عندنا
3aanid,عَانِد,عاند
3annid,عَنِّد,عند
y3aanid,يعَانِد,يعاند
y3annid,يعَنِّد,يعند
3aanad,عَانَد,عاند
3annad,عَنَّد,عند
3anze,عَنْزِة,عنزة
di7kit 3anze 3abaab maslakh,ضحكة عَنْزِة عبَاب مسلخ,ضحكة عنزة عباب مسلخ
fadii7it 2il3anze 2issooda,فضيحة العنزة السودَا,فضيحة العنزة السودا
3aanis,عَانِس,عانس
3awaanis,عَوَانِس,عوانس
3unuuse,عُنُوسِة,عنوسة
3annis,عَنِّس,عنس
y3annis,يعَنِّس,يعنس
3annas,عَنَّس,عنس
3unsuriyye,عُنْصُرِيِّة,عنصرية
2it3ansar,اِتْعَنْصَر,اتعنصر
yit3ansar,يِتْعَنْصَر,يتعنصر
t3ansar,تْعَنْصَر,تعنصر
3unsuri,عُنْصُرِي,عنصري
3anaasir,عَنَاصِر,عناصر
3unsur,عُنْصُر,عنصر
m3ansil,مْعَنْصِل,معنصل
3ansale,عَنْصَلِة,عنصلة
3unsul,عُنْصُل,عنصل
2it3ansal,اِتْعَنْصَل,اتعنصل
yit3ansal,يِتْعَنْصَل,يتعنصل
t3ansal,تْعَنْصَل,تعنصل
3antabiikh,عَنْطَبِيخ,عنطبيخ
3antabiil,عَنْطَبِيل,عنطبيل
3antaza,عَنْطَزَة,عنطزة
2it3antaz,اِتْعَنْطَز,اتعنطز
yit3antaz,يِتْعَنْطَز,يتعنطز
t3antaz,تْعَنْطَز,تعنطز
3aniif,عَنِيف,عنيف
3unf,عُنْف,عنف
3annif,عَنِّف,عنف
y3annif,يعَنِّف,يعنف
3annaf,عَنَّف,عنف
m3anfis,مْعَنْفِص,معنفص
3anfasa,عَنْفَصَة,عنفصة
3anfis,عَنْفِص,عنفص
y3anfis,يعَنْفِص,يعنفص
3anfas,عَنْفَص,عنفص
3inaaq,عِنَاق,عناق
2i3tinaaq,اِعْتِنَاق,اعتناق
3unuq,عُنُق,عنق
2a3naaq,أَعْنَاق,أعناق
qati3 2il2a3naaq wala qati3 2il2arzaaq,قَطْع الأعنَاق ولَا قَطْع الأرزَاق,قطع الأعناق ولا قطع الأرزاق
3unuq 2irra7im,عُنُق الرحم,عنق الرحم
rabtit 3unuq,رَبْطِة عُنُق,ربطة عنق
3aaniq,عَانِق,عانق
2i3tiniq,اِعْتِنِق,اعتنق
y3aaniq,يعَانِق,يعانق
yi3tiniq,يِعْتِنِق,يعتنق
3aanaq,عَانَق,عانق
2i3tanaq,اِعْتَنَق,اعتنق
3anquud,عَنْقُود,عنقود
3anaaqiid,عَنَاقِيد,عناقيد
2aakhir 2il3anquud,آخِر العَنْقُود,آخر العنقود
m3anqir,مْعَنْقِر,معنقر
3anqara,عَنْقَرَة,عنقرة
3anqir 3gaalo,مْعَنْقِر عْقَاله,معنقر عقاله
3anqir,عَنْقِر,عنقر
y3anqir,يعَنْقِر,يعنقر
3anqar,عَنْقَر,عنقر
m3ankish,مْعَنْكِش,معنكش
2it3ankash,اِتْعَنْكَش,اتعنكش
yit3ankash,يِتْعَنْكَش,يتعنكش
t3ankash,تْعَنْكَش,تعنكش
3inn,عِنّ,عن
y3inn,يعِنّ,يعن
3ann,عَنّ,عن
3inwaan,عِنْوَان,عنوان
3anaawiin,عَنَاوِين,عناوين
3anwin,عَنْوِن,عنون
y3anwin,يعَنْوِن,يعنون
3anwan,عَنْوَن,عنون
m3anwan,مْعَنْوَن,معنون
ma3aani,مَعَانِي,معاني
ma3na,مَعْنَى,معنى
3inaaye,عِنَايِة,عناية
mu3aanaa,مُعَانَاة,معاناة
3aani,عَانِي,عاني
y3aani,يعَانِي,يعاني
3aana,عَانَى,عانى
2i3ni,اِعْنِي,اعني
yi3ni,يِعْنِي,يعني
3ana,عَنَى,عنى
3uhda,عُهْدِة,عهدة
ma3huud,مَعْهُود,معهود
3aahid,عَاهِد,عاهد
y3aahid,يعَاهِد,يعاهد
3aahad,عَاهَد,عاهد
2it3ahhad,اِتْعَهَّد,اتعهد
yit3ahhad,يِتْعَهَّد,يتعهد
t3ahhad,تْعَهَّد,تعهد
2i3had,اِعْهَد,اعهد
yi3had,يِعْهَد,يعهد
3ahid,عَهِد,عهد
3uhuud,عُهُود,عهود
3ahid,عَهِد,عهد
ta3ahhud,تَعَهُّد,تعهد
3aahre,عَاهْرِة,عاهرة
m3oohar,مْعَوهَر,معوهر
tees 3aahre,تيس عَاهْرِة,تيس عاهرة
3ooja,عَوجَا,عوجا
ma3wuuj,مَعْوُوج,معووج
2a3waj,أَعْوَج,أعوج
2i3wadj,إِعْوَج,إعوج
3uuj,عُوج,عوج
2in3iwaaj,اِنْعِوَاج,انعواج
3awaj,عَوَج,عوج
dhili3 2i3wadj,ضلع إِعوج,ضلع إعوج
dili3 2a3waj,ضلع أعوج,ضلع أعوج
2ilbooja 2il3ooja,البوجة العوجَا,البوجة العوجا
2i3wij,اِعْوِج,اعوج
2in3iwij,اِنْعِوِج,انعوج
yin3iwij,يِنْعِوِج,ينعوج
yi3wij,يِعْوِج,يعوج
2in3awaj,اِنْعَوَج,انعوج
3awaj,عَوَج,عوج
mu3taad,مُعْتَاد,معتاد
mit3awwid,مِتْعَوِّد,متعود
3aadatan,عَادَةً,عادة
3aad,عَاد,عاد
3oode,عَودِة,عودة
3aade,عَادِة,عادة
3awaayid,عَوَايِد,عوايد
3aa2id,عَائِد,عائد
3aa2id,عَائِد,عائد
3aadi,عَادِي,عادي
ta3wiid,تَعْوِيد,تعويد
2ij3aluuha b3oode,اِجْعَلُوهَا بْعَودِة,اجعلوها بعودة
miftaa7 2il3oode,مِفْتَاح العَودِة,مفتاح العودة
bil3aade,بَالعَادِة,بالعادة
3uud,عُود,عود
y3uud,يعُود,يعود
3aad,عَاد,عاد
2it3awwad,اِتْعَوَّد,اتعود
3awwid,عَوِّد,عود
yit3awwad,يِتْعَوَّد,يتعود
y3awwid,يعَوِّد,يعود
t3awwad,تْعَوَّد,تعود
3awwad,عَوَّد,عود
3iyaaz,عِيَاذ,عياذ
mu3awwidhaat,مُعوِّذَات,معوذات
2it3awwaz,اِتْعوَّذ,اتعوذ
yit3awwaz,يِتْعوَّذ,يتعوذ
t3awwaz,تْعَوَّذ,تعوذ
mu3awwidhatiin,مُعَوِّذِتَين,معوذتين
ta3wiize,تَعْوِيذِة,تعويذة
ta3aawiiz,تَعَاوِيذ,تعاويذ
2a3war,أَعْوَر,أعور
3uur,عُور,عور
3awar,عَوَر,عور
3waar,عْوَار,عوار
2ilmara 2illi joozha biquul 3anha 3oora kull 2innaas btil3ab fiiha 2ilkoora,المَرَة الِّلي جَوزْهَا بِيقُول عَنْهَا عَورَا كُلّ النَّاس بْتِلْعَب فِيهَا الكَورَة,المرة اللي جوزها بيقول عنها عورا كل الناس بتلعب فيها الكورة
2i3wir,اِعْوِر,اعور
3awwir,عَوِّر,عور
2it3awwar,اِتْعَوَّر,اتعور
yi3wir,يِعْوِر,يعور
3oora,عَورَا,عورا
y3awwir,يعَوِّر,يعور
yit3awwar,يِتْعَوَّر,يتعور
3awar,عَوَر,عور
2in3awar,اِنْعَوَر,انعور
3awwar,عَوَّر,عور
t3awwar,تْعَوَّر,تعور
3awra,عَوْرَة,عورة
3awra,عَوْرَة,عورة
2in3iwir,اِنْعِوِر,انعور
2ini3wir,اِنِعْوِر,انعور
yin3iwir,يِنْعِوِر,ينعور
yini3wir,يِنِعْوِر,ينعور
3aaze,عَازِة,عازة
3aayiz,عَايِز,عايز
2ibnil 3aaze 3ukkaaze,إِبن العَازِة عُكَّازِة,إبن العازة عكازة
mi3taaz,مِعْتَاز,معتاز
mi3taaz,مِعْتَاز,معتاز
2i3taaz,اِعْتَاز,اعتاز
yi3taaz,يِعْتَاز,يعتاز
2i3taaz,اِعْتَاز,اعتاز
3awad,عَوَض,عوض
3alee 2il3awad wuminno 2il3awad,عليه العَوَِض ومنه العوض,عليه العوض ومنه العوض
2il3awad bsalaamto,العَوَض بسلَامته,العوض بسلامته
3awwid,عَوِّض,عوض
2ista3iid,اِسْتَعِيض,استعيض
2it3awwad,اِتْعَوَّض,اتعوض
y3awwid,يعَوِّض,يعوض
yit3awwad,يِتْعَوَّض,يتعوض
yista3iid,يِسْتَعِيض,يستعيض
3awwad,عَوَّض,عوض
t3awwad,تْعَوَّض,تعوض
2ista3aad,اِسْتَعَاض,استعاض
ta3wiid,تَعْوِيض,تعويض
3aayif,عَايِف,عايف
shaayif ta3aayif,شَايِف تعَايِف,شايف تعايف
3awwif,عَوِّف,عوف
y3awwif,يعَوِّف,يعوف
3aaf,عَاف,عاف
3awwaf,عَوَّف,عوف
3oofe,عَوفِة,عوفة
3uuf,عُوف,عوف
y3uuf,يعُوف,يعوف
mu3awwaq,مُعَوَّق,معوق
2i3aaqa,إِعَاقَة,إعاقة
mu3iiq,مُعِيق,معيق
3aa2iq,عَائِق,عائق
3awaa2iq,عَوَائِق,عوائق
3iiq,عِيق,عيق
3awwiq,عَوِّق,عوق
2it3awwaq,اِتْعَوَّق,اتعوق
2ista3wiq,اِسْتَعْوِق,استعوق
y3iiq,يعِيق,يعيق
y3awwiq,يعَوِّق,يعوق
yit3awwaq,يِتْعَوَّق,يتعوق
3awqi,عَوْقِي,عوقي
t3awwaqat,تْعَوَّقَت,تعوقت
yista3wiq,يِسْتَعْوِق,يستعوق
2a3aaq,أَعَاق,أعاق
3awwaq,عَوَّق,عوق
t3awwaq,تْعَوَّق,تعوق
3awwaqat,عَوِّقَت,عوقت
2ista3waq,اِسْتَعْوَق,استعوق
3awatshe,عَوَّاكَة,عواكة
3awaale,عَوَالِة,عوالة
mi3wal,مِعْوَل,معول
ma3aawil,مَعَاوِل,معاول
3awwil,عَوِّل,عول
2it3aawal,اِتْعَاوَل,اتعاول
2ista3wil,اِسْتَعْوِل,استعول
y3awwil,يعَوِّل,يعول
yit3aawal,يِتْعَاوَل,يتعاول
yista3wil,يِسْتَعْوِل,يستعول
3awwal,عَوَّل,عول
t3aawal,تْعَاوَل,تعاول
2ista3wal,اِسْتَعْوَل,استعول
3awiil,عَوِيل,عويل
3awwim,عَوِّم,عوم
y3awwim,يعَوِّم,يعوم
3awwam,عَوَّم,عوم
3uum,عُوم,عوم
y3uum,يعُوم,يعوم
3aam,عَام,عام
3aayim,عَايِم,عايم
3awwame,عَوَّامِة,عوامة
muta3aawin,مُتَعَاوِن,متعاون
3awaayni,عَوَاينِي,عوايني
3awaayniyye,عَوَاينِيِّة,عواينية
ta3aawun,تَعَاوُن,تعاون
3aawin,عَاوِن,عاون
2it3aawan,اِتْعَاوَن,اتعاون
y3aawin,يعَاوِن,يعاون
2a3iin,أَعِين,أعين
y3iin,يعِين,يعين
2a3aan,أَعَان,أعان
yit3aawan,يِتْعَاوَن,يتعاون
3aawan,عَاوَن,عاون
t3aawan,تْعَاوَن,تعاون
3oon,عَون,عون
3oone,عَونِة,عونة
3aaha,عَاهَة,عاهة
3aaha,عَاهَة,عاهة
3aahaatak yaa watan,عَاهَاتك يَا وطن,عاهاتك يا وطن
ma3tuuh,مَعْتُوه,معتوه
ma3aatiih,مَعَاتِيه,معاتيه
3iwa,عِوَا,عوا
walla la2akhalli 3waa yoosal lamaalta,وَالله لأخلي عْوَاه يوصل لمَالطَا,والله لأخلي عواه يوصل لمالطا
3awwi,عوِّي,عوي
2i3wi,اِعْوِي,اعوي
y3awwi,يعوِّي,يعوي
yi3wi,يِعْوِي,يعوي
3awwa,عوَّى,عوى
3awa,عَوَى,عوى
3aayib,عَايِب,عايب
3ayyib,عَيِّب,عيب
y3ayyib,يعَيِّب,يعيب
3ayyab,عَيَّب,عيب
2ista3yib,اِسْتَعْيِب,استعيب
yista3yib,يِسْتَعْيِب,يستعيب
2ista3yab,اِسْتَعْيَب,استعيب
3iib,عِيب,عيب
y3iib,يعِيب,يعيب
3aab,عَاب,عاب
3eeb,عَيب,عيب
3eebe,عَيبِة,عيبة
3eeb,عَيب,عيب
3yuub,عْيُوب,عيوب
2i3aade,إِعَادِة,إعادة
3iidiyye,عِيدِيِّة,عيدية
3ayaadi,عَيَادِي,عيادي
3iid,عِيد,عيد
3iyaade,عِيَادِة,عيادة
2a3yaad,أَعْيَاد,أعياد
y3iid ma2saat,يعِيد مأسَاة,يعيد مأساة
m3aayade,مْعَايَدِة,معايدة
ta3wiid,تَعْوِيد,تعويد
3uud,عُود,عود
3ayyid,عَيِّد,عيد
3aawid,عَاوِد,عاود
2a3waad,أَعْوَاد,أعواد
2it3ayyad,اِتْعَيَّد,اتعيد
3iidaan,عِيدَان,عيدان
3uud 2ili7raath,عُود الحْرَاث,عود الحراث
y3ayyid,يعَيِّد,يعيد
y3aawid,يعَاوِد,يعاود
2ij3aluuha b3oode,اِجَعَلُوهَا عَودِة,اجعلوها عودة
3iid,عِيد,عيد
yit3ayyad,يِتْعَيَّد,يتعيد
y3iid,يعِيد,يعيد
3ayyad,عَيَّد,عيد
3aawad,عَاوَد,عاود
3aad,عَاد,عاد
t3ayyad,تْعَيَّد,تعيد
3aar,عَار,عار
2i3aara,إِعَارَة,إعارة
mi3yaar,مِعْيَار,معيار
ma3aayiir,مَعَايِير,معايير
3yaar,عْيَار,عيار
y3aayir,يْعَايِر,يعاير
2ili3yaar 2illi maa bisiibak bidwishak,العْيَار اللي مَابصيبك بدوشك,العيار اللي مابصيبك بدوشك
3iirna skuutak,عِيرنَا سكوتَك,عيرنا سكوتك
3iir,عِير,عير
2ista3iir,اِسْتَعِير,استعير
3ayyir,عَيِّر,عير
3aayir,عَايِر,عاير
yista3iir,يِسْتَعِير,يستعير
y3ayyir,يعَيِّر,يعير
y3iir,يعِير,يعير
3aar,عَار,عار
2ista3aar,اِسْتَعَار,استعار
3ayyar,عَيَّر,عير
3aayar,عَايَر,عاير
ma3iishe,مَعِيشِة,معيشة
3aayish,عَايِش,عايش
3ayyiish,عَيِّيش,عييش
3iishe,عِيشِة,عيشة
ta3aayush,تَعَايُش,تعايش
ma3aash,مَعَاش,معاش
3iish miin qaddak,عِيش مين قدَّك,عيش مين قدك
3iishit 3izz,عِيشِة عِز,عيشة عز
3iishe min 2ilqille,عِيشِة من القِلِّة,عيشة من القلة
t3iish,تْعِيش,تعيش
3iish,عِيش,عيش
3ayyish,عَيِّش,عيش
2it3aayash,اِتْعَايَش,اتعايش
y3iish,يعِيش,يعيش
y3ayyish,يعَيِّش,يعيش
yit3aayash,يِتْعَايَش,يتعايش
3aash,عَاش,عاش
3ayyash,عَيَّش,عيش
t3aayash,تْعَايَش,تعايش
m3ayyit,مْعيِّط,معيط
3yaat,عْيَاط,عياط
mfa77im 3yaat,مفحم عيَاط,مفحم عياط
3ayyit,عيِّط,عيط
y3ayyit,يْعيِّط,يعيط
3ayyat,عيَّط,عيط
3eele,عَيلِة,عيلة
mu3iil,مُعِيل,معيل
3ayyil,عَيِّل,عيل
3awaa2il,عَوَائِل,عوائل
3iyal,عِيَل,عيل
2il3eele billeele,العَيلِة بَاللَّيلِة,العيلة بالليلة
3iil,عِيل,عيل
y3iil,يعِيل,يعيل
2a3aal,أَعَال,أعال
3ayyine,عَيِّنِة,عينة
m3ayyin,مْعَيِّن,معين
m3aayin,مْعَايِن,معاين
mu3ayyan,مُعَيَّن,معين
ma3yuun,مَعْيُون,معيون
3ayyine,عيِّنِه,عينه
3een,عَين,عين
m3aayane,مْعَايَنِة,معاينة
ta3yiin,تَعْيِين,تعيين
3yuun,عْيُون,عيون
mish ma7luub b3eeno,مِشْ مَحْلُوب بْعَينُه,مش محلوب بعينه
3ayyin kheer,عَيِّن خِير,عين خير
3eeno kariime,عَينُه كَرِيمِة,عينه كريمة
mish maali 3een,مِش مَالِي عَين,مش مالي عين
2a3tato 3een,أَعْطَتُه عَين,أعطته عين
3een wumaa sallat 3annabi,عَين ومَا صَلَّت عَالنَّبِي,عين وما صلت عالنبي
2ba33izlo 3inee,أَبَعِّز لُه عَينِيه,أبعز له عينيه
2ashiillo bizrit 3inee,أَشِيل لُه بِزْرِة عَينِيه,أشيل له بزرة عينيه
3alee 2il3een,عَلَيه العَين,عليه العين
3eeno faarghe,عَينُه فَارْغَة,عينه فارغة
3eeno zaaygha,عَينُه زَايْغَة,عينه زايغة
3eeno diiqa,عَينُه ضِيقَة,عينه ضيقة
2ilo 3ineen braas,اِلُه عَينَين بْرَاس,اله عينين براس
3inee bitlaqwatu,عَينِيه بْيِتْلَقْوَطُوا,عينيه بيتلقوطوا
fatti7 3eenak,فَتِّح عَينَك,فتح عينك
3yuuno wilqabir,عْيُونُه والقَبِر,عيونه والقبر
tili3 min 3eeni,طِلِع مِن عَينِي,طلع من عيني
siqit min 3eeni,سَقَط مِن عَينِي,سقط من عيني
3een qawiyye,عِين قَوِيِّة,عين قوية
2iddahwal 3ala 3eeno,تْدَهْوَل عَلَى عَينُه,تدهول على عينه
7aamle min 3eenha,حَامْلِة مِن عَينْهَا,حاملة من عينها
3eeno baar7a,عَينُه بَارْحَة,عينه بارحة
3een 2ilbayaadir,عَين البَيَادِر,عين البيادر
bidha tnaqqi 3ala 3eenha,بِدْهَا تْنَقِّي عَلَى عَينْهَا,بدها تنقي على عينها
3ayyin,عَيِّن,عين
2it3ayyan,اِتْعَيَّن,اتعين
3aayin,عَايِن,عاين
y3ayyin,يعَيِّن,يعين
yit3ayyan,يِتْعَيَّن,يتعين
y3aayin,يْعَايِن,يعاين
3ayyan,عَيَّن,عين
t3ayyan,تْعَيَّن,تعين
3aayan,عَايَن,عاين
